Source,Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity for 1 Device,Unit Price EUR,Estimated Cost EUR
Mouser,426-SEN0170,SEN0170,DFRobot,"Anemometer Wind Speed Sensor (0-5V, 0-30m/s, IP65)",1,49.4,49.4
Mouser,474-DEV-15334,DEV-15334,SparkFun Electronics,SparkFun Qwiic 12 Bit ADC - 4 Channel (ADS1015),1,18.0,18.0
Mouser,474-SEN-15805,SEN-15805,SparkFun Electronics,SparkFun High Precision Temperature Sensor - TMP117 (Qwiic),3,16.1,48.3
Mouser,474-BOB-16281,BOB-16281,SparkFun Electronics,SparkFun Real Time Clock Module - RV-8803 (Qwiic),1,19.54,19.54
Mouser,358-SC1628,SC1628,Raspberry Pi,32GB A2 class micro-SD card,1,5.15,5.15
Mouser,485-4399,4399,Adafruit,STEMMA QT / Qwiic JST SH 4-Pin Cable - 50mm,3,0.903,2.71
Mouser,485-4424,4424,Adafruit,4-pin JST PH to JST SH Cable - STEMMA to QT / Qwiic - 200mm,1,0.903,0.9
Mouser,426-TEL0137,TEL0137,DFRobot,USB GPS Receiver,1,12.45,12.45
Mouser,474-DEV-14459,DEV-14459,SparkFun Electronics,SparkFun Qwiic HAT for Raspberry Pi,1,6.17,6.17
Mouser,595-PTN04050CAH,PTN04050CAH,Texas Instruments,12W 3.3/5V Input Wide Output Adjustable Boost Converter,1,17.15,17.15
Amazon,,,Noosverl,1/4 Inch Tripod Screw,1,6.99,6.99
Amazon,,,FAEFTY,Camera Car Suction Cup Holder,3,53.99,161.97
Amazon,,,CABLEPELADO,"USB 3.0 Extension Cable Type A Male to Female, 1m",1,6.2,6.2
Amazon,,,KARELLS,"USB Pigtail 2 Core, 2m, 5V 2A Male Power Cable",1,6.99,6.99
